w	worker	slice	seq	row	word	verdicts	sweep_s	first_in_list	rc	diverged	platform	tree	wall_s	post_s	banked	manifest_pins	cost_i9_s	reserved
4	i9-13900K (sweeper)	2	44	crypto/sha256	PASS	22	15	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	15	0	yes	1	25	0
4	i9-13900K (sweeper)	2	45	debug/gosym	PASS	10	15	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	16	0	yes	1	25	0
4	i9-13900K (sweeper)	2	46	image/jpeg	PASS	14	17	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	17	0	yes	0	25	0
4	i9-13900K (sweeper)	2	47	internal/abi	PASS	1	17	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	17	0	yes	1	25	0
4	i9-13900K (sweeper)	2	48	slices	PASS	120	15	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	15	0	yes	3	25	0
4	i9-13900K (sweeper)	2	49	unicode	PASS	28	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	25	0
4	i9-13900K (sweeper)	2	50	container/ring	PASS	8	11	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	11	0	yes	0	24	0
4	i9-13900K (sweeper)	2	51	os/exec/internal/fdtest	PASS	1	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	24	0
4	i9-13900K (sweeper)	2	52	compress/lzw	PASS	17	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	23	0
4	i9-13900K (sweeper)	2	53	encoding/pem	PASS	18	15	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	15	0	yes	0	23	0
4	i9-13900K (sweeper)	2	54	go/doc/comment	PASS	10059	18	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	19	1	yes	0	23	1
4	i9-13900K (sweeper)	2	55	hash/maphash	DIVERGED	59	139	1	1	36	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	140	0	yes	0	23	1
4	i9-13900K (sweeper)	2	56	mime	PASS	17	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	1	23	0
4	i9-13900K (sweeper)	2	57	cmp	PASS	4	11	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	11	0	yes	0	22	0
4	i9-13900K (sweeper)	2	58	container/heap	PASS	7	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	12	0	yes	0	22	0
4	i9-13900K (sweeper)	2	59	internal/cpu	PASS	8	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	15	0	yes	2	22	0
4	i9-13900K (sweeper)	2	60	internal/runtime/sys	PASS	4	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	12	0	yes	0	22	0
4	i9-13900K (sweeper)	2	61	net/http/internal	PASS	14	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	1	22	0
4	i9-13900K (sweeper)	2	62	errors	PASS	61	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	21	0
4	i9-13900K (sweeper)	2	63	html	PASS	3	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	21	0
4	i9-13900K (sweeper)	2	64	log	PASS	8	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	1	21	0
4	i9-13900K (sweeper)	2	65	runtime/internal/wasitest	PASS	1	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	21	0
4	i9-13900K (sweeper)	2	66	weak	PASS	6	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	21	0
4	i9-13900K (sweeper)	2	67	encoding/base64	PASS	17	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	20	0
4	i9-13900K (sweeper)	2	68	internal/itoa	PASS	3	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	20	0
4	i9-13900K (sweeper)	2	69	path	PASS	9	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	12	0	yes	0	20	0
4	i9-13900K (sweeper)	2	70	unique	PASS	21	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	1	20	0
4	i9-13900K (sweeper)	2	71	internal/gover	PASS	5	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	12	0	yes	0	19	0
4	i9-13900K (sweeper)	2	72	maps	PASS	14	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	19	0
4	i9-13900K (sweeper)	2	73	internal/syscall/windows/registry	PASS	6	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	15	0
4	i9-13900K (sweeper)	2	74	crypto/internal/fips140/mlkem	PASS	10	15	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	15	0	yes	0	13	1
4	i9-13900K (sweeper)	2	75	crypto/mlkem	PASS	8	26	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	27	0	yes	0	13	1
4	i9-13900K (sweeper)	2	76	time	BUILD	NOMATCH	138	1	1	n/a	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	139	0	no	0	2	1
